Index,Nome do Repository,URL,Total de Estrelas,Data da criacao,Data da ultima atualizacao,Total de Issues,Total de Issues Fechadas,Idade do repositorio (dias),Total de Pull Requests,Total de Releases,Data da ultima atualizacao,Linguagem primaria,Percentual de issues fechadas
99,models,https://github.com/tensorflow/models,76917,05/02/2016 01:15:20,22/08/2024 17:54:07,7273,6205,3124,3814,46,3,Python,85.32%
100,FiraCode,https://github.com/tonsky/FiraCode,76522,11/11/2014 19:32:38,29/02/2024 16:53:30,1324,934,3575,187,29,178,Clojure,70.54%
101,advanced-java,https://github.com/doocs/advanced-java,75528,06/10/2018 11:38:30,21/08/2024 00:22:08,146,141,2150,126,1,4,Java,96.58%
102,LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,75256,06/12/2018 08:01:22,12/01/2022 07:47:38,59,42,2089,76,0,956,Java,71.19%
103,fastapi,https://github.com/fastapi/fastapi,74938,08/12/2018 08:21:47,25/08/2024 02:44:27,3424,3386,2087,3488,185,0,Python,98.89%
104,hugo,https://github.com/gohugoio/hugo,74425,04/07/2013 15:26:26,25/08/2024 21:17:26,7307,6870,4070,5289,284,0,Go,94.02%
105,ChatGPT-Next-Web,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web,74272,10/03/2023 18:27:54,24/08/2024 04:11:46,2942,2561,534,2007,66,1,TypeScript,87.05%
106,awesome-mac,https://github.com/jaywcjlove/awesome-mac,74232,17/07/2016 15:33:47,21/08/2024 17:16:59,421,308,2961,1009,9,4,JavaScript,73.16%
107,spring-boot,https://github.com/spring-projects/spring-boot,74223,19/10/2012 15:02:57,23/08/2024 15:29:20,35164,34636,4328,6355,283,2,Java,98.5%
108,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,73466,17/02/2012 14:19:43,16/07/2024 17:13:31,19413,15382,4573,690,56,40,JavaScript,79.24%
109,bun,https://github.com/oven-sh/bun,72788,14/04/2021 00:48:17,25/08/2024 20:44:18,8378,4914,1229,4527,156,0,Zig,58.65%
110,json-server,https://github.com/typicode/json-server,72396,27/11/2013 13:21:13,19/08/2024 13:20:15,1145,538,3924,403,37,6,JavaScript,46.99%
111,awesome-vue,https://github.com/vuejs/awesome-vue,71779,20/10/2015 00:16:14,19/08/2024 07:37:08,222,188,3232,3896,0,6,No primary language,84.68%
112,rustdesk,https://github.com/rustdesk/rustdesk,71129,28/09/2020 15:36:08,25/08/2024 13:29:41,2976,2931,1427,3374,20,0,Rust,98.49%
113,supabase,https://github.com/supabase/supabase,70811,12/10/2019 05:56:49,24/08/2024 14:58:22,3691,3461,1779,11324,15,1,TypeScript,93.77%
114,core,https://github.com/home-assistant/core,70590,17/09/2013 07:29:48,25/08/2024 20:45:06,51422,49219,3995,72419,1000,0,Python,95.72%
115,netdata,https://github.com/netdata/netdata,70217,17/06/2013 18:39:10,25/08/2024 19:27:17,7898,7730,4087,10020,90,0,C,97.87%
116,mermaid,https://github.com/mermaid-js/mermaid,70200,01/11/2014 23:52:32,25/08/2024 04:08:48,2901,1954,3584,2571,127,0,JavaScript,67.36%
117,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,69975,28/11/2015 09:48:17,29/07/2024 14:21:23,62,35,3193,233,0,27,No primary language,56.45%
118,elasticsearch,https://github.com/elastic/elasticsearch,69037,08/02/2010 13:20:56,25/08/2024 20:44:18,35955,32143,5312,75879,153,0,Java,89.4%
119,ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,68849,03/03/2021 01:34:05,04/06/2024 12:46:50,131,129,1271,497,0,82,HTML,98.47%
120,gpt4all,https://github.com/nomic-ai/gpt4all,68733,27/03/2023 18:49:32,23/08/2024 16:36:54,1818,1288,517,937,23,2,C++,70.85%
121,moby,https://github.com/moby/moby,68370,18/01/2013 18:10:57,24/08/2024 16:29:12,22620,19558,4237,25197,188,1,Go,86.46%
122,Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,68312,16/10/2017 10:12:36,08/05/2024 22:37:16,166,147,2505,301,1,108,No primary language,88.55%
123,node,https://github.com/base-org/node,68046,01/02/2023 13:55:02,12/08/2024 14:38:37,162,146,571,148,34,13,Shell,90.12%
124,github-readme-stats,https://github.com/anuraghazra/github-readme-stats,67687,09/07/2020 10:34:22,21/08/2024 17:42:53,1212,1085,1508,2283,0,4,JavaScript,89.52%
125,reveal.js,https://github.com/hakimel/reveal.js,67470,07/06/2011 18:54:22,15/05/2024 09:15:31,2392,1662,4828,1072,47,102,JavaScript,69.48%
126,flask,https://github.com/pallets/flask,67363,06/04/2010 11:11:59,24/08/2024 01:05:21,2644,2638,5255,2578,34,1,Python,99.77%
127,code-server,https://github.com/coder/code-server,67260,27/02/2019 16:50:41,19/08/2024 23:30:25,3493,3393,2006,1871,161,5,TypeScript,97.14%
128,stable-diffusion,https://github.com/CompVis/stable-diffusion,67234,10/08/2022 14:36:44,16/11/2022 20:34:06,707,189,746,149,0,648,Jupyter Notebook,26.73%
129,funNLP,https://github.com/fighting41love/funNLP,67211,21/08/2018 11:20:39,24/08/2023 08:47:15,307,54,2196,26,0,367,Python,17.59%
